"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"111",10374.9618181818,10093.6521911815,10656.2714451821,9944.73587000414,10805.1877663595
"112",10374.9618181818,10093.6521911815,10656.2714451821,9944.73587000414,10805.1877663595
"113",10374.9618181818,10093.6521911815,10656.2714451821,9944.73587000414,10805.1877663595
"114",10374.9618181818,10093.6521911815,10656.2714451821,9944.73587000414,10805.1877663595
"115",10374.9618181818,10093.6521911815,10656.2714451821,9944.73587000414,10805.1877663595
"116",10374.9618181818,10093.6521911815,10656.2714451821,9944.73587000414,10805.1877663595
"117",10374.9618181818,10093.6521911815,10656.2714451821,9944.73587000414,10805.1877663595
"118",10374.9618181818,10093.6521911815,10656.2714451821,9944.73587000414,10805.1877663595
"119",10374.9618181818,10093.6521911815,10656.2714451821,9944.73587000414,10805.1877663595
"120",10374.9618181818,10093.6521911815,10656.2714451821,9944.73587000414,10805.1877663595
