"","Index","X95.","forecast_result.mean","X95..1"
"1",1,-0.0769502906536975,-0.0640150627358531,-0.0510798348180088
"2",2,-0.0796014749783744,-0.0640150627358531,-0.0484286504933319
"3",3,-0.0818630982552332,-0.0640150627358531,-0.0461670272164731
"4",4,-0.0838687399068028,-0.0640150627358531,-0.0441613855649035
"5",5,-0.0856895782440605,-0.0640150627358531,-0.0423405472276458
"6",6,-0.0873688792938112,-0.0640150627358531,-0.0406612461778951
"7",7,-0.0889352728699991,-0.0640150627358531,-0.0390948526017072
"8",8,-0.0904088687978296,-0.0640150627358531,-0.0376212566738766
"9",9,-0.0918044334330183,-0.0640150627358531,-0.036225692038688
"10",10,-0.0931331885177729,-0.0640150627358531,-0.0348969369539334
"11",11,-0.0944038990801249,-0.0640150627358531,-0.0336262263915814
"12",12,-0.0956235663332424,-0.0640150627358531,-0.0324065591384639
