,predict,residuals
1.0000 ,86.7418 ,0.0000 
2.0000 ,86.7418 ,-1.4223 
3.0000 ,86.5996 ,-1.8641 
4.0000 ,86.4132 ,-1.3019 
5.0000 ,86.2830 ,-1.1343 
6.0000 ,86.1695 ,-1.6920 
7.0000 ,86.0003 ,-1.3176 
8.0000 ,85.8686 ,-1.1929 
9.0000 ,85.7493 ,0.5676 
10.0000 ,85.8061 ,2.1945 
