"Lag","ACF","Variogram"
1,-0.265231617247556,1
2,-0.328770023770568,0.966288846022242
3,0.265164768205141,0.376305926325143
4,-0.00816481337719264,0.605186788869496
5,-0.0370502426494373,0.497885567402243
6,-0.00628548820568918,0.48222917485905
7,0.0371520545801453,0.453538615083243
8,-0.00460006721265645,0.501760015653658
9,-0.0470324968858555,0.552837724527054
10,0.0351037188066355,0.485020559847097
11,0.0148158036170926,0.515387351421943
12,0.0430828093212179,0.49795720994788
13,-0.0165413620058852,0.577464819520384
14,-0.0674135532098099,0.647293646078611
15,0.011498594701668,0.577211390190907
16,-0.0161708253157603,0.628828813863798
17,-0.0192209876904061,0.652321260123884
18,0.0294815465176334,0.608621213990243
19,0.0424564142145678,0.614177776446382
20,-0.0266033316276105,0.731861059396376
21,-0.0978584671514573,0.856504969583024
22,-0.0128334078509026,0.750342811184431
23,0.0526467675621035,0.680958982104274
24,-0.00384864481747203,0.800529811168504
25,0.0353723037144992,0.771310169532542
