"Lag","ACF","Variogram"
1,0.839469744720433,1
2,0.739041584585653,1.4536146902557
3,0.746405280993756,1.25685138419711
4,0.761370830151465,1.10628948483776
5,0.689863390636263,1.58618709106353
6,0.679095928293387,1.575741533177
7,0.680965334170895,1.20057189162492
8,0.662192877637,1.29298964334515
9,0.599750166987909,1.63673898899883
10,0.584338923484498,1.57861757529093
11,0.553744386706747,1.63766799561909
12,0.504608745661647,1.98761636688489
13,0.482469973041049,2.12368540234924
14,0.499553290530215,1.90781159271135
15,0.532246856997492,1.57850724388325
16,0.466225202919187,1.9909523929471
17,0.41515890560405,1.9896805490367
18,0.418314281649087,1.81650068565436
19,0.419576423836362,1.73323771566945
20,0.346800024341027,2.20876291134452
21,0.333503147131591,2.18727966485023
22,0.317882678323145,2.1698116458853
23,0.294889994295003,2.29012527611531
24,0.266200598506186,2.46986313838006
25,0.258804555306237,2.34920279224114
